"analysis" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23" "24" "25" "26" "27" "28" "29" "30" "31" "32" "33" "34" "35" "36" "37" "38" "39" "40" "41" "42" "43" "44" "45" "46" "47" "48" "49" "50" "51" "52" "53" "54" "55" "56" "57" "58" "59" "60" "61" "62" "63" "64" "65" "66" "67" "68" "69" "70" "71" "72" "73" "74" "75" "76" "77" "78" "79" "80" "81" "82" "83" "84" "85" "86" "87" "88" "89" "90" "91" "92" "93" "94" "95" "96" "97" "98" "99" "100" "101" "102" "103" "104" "105" "106" "107" "108" "109" "110" "111" "112" "113" "114" "115" "116" "117" "118" "119" "120" "121" "122" "123" "124" "125" "126" "127" "128" "129" "130" "131" "132" "133" "134" "135" "136" "137" "138" "139" "140" "141" "142" "143" "144" "145" "146" "147" "148" "149" "150" "151" "152" "153" "154" "155" "156" "157" "158" "159" "160" "161" "162" "163" "164" "165" "166" "167" "168"
"BK-SW-JAN-398875" "0.02" "0" "0.23" NA NA "0.04" NA "0.06" "0" NA NA "0.28" "0.03" NA "0" "0.11" NA "0" "0" "0.08" "0" "0.08" "0.09" NA "0" "0.05" "0" "0" "0" "0" "0" "0.16" NA "0" "0" "0.28" NA "0.91" "0" "0" "0.18" "0" NA "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "3.23" "0" "0" "0.32" "0.4" "0.53" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.71" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1.03" "10.5" "29.3" "1.23" "8.17" "39.6" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK_00_DEC_398858" NA "0" "0" NA "1.2" NA NA "0.56" "0" NA NA "2.68" NA "0" "0" "1.11" "1.37" "0" "0" "0.73" "0" "0.8" "0" "0.67" "0" NA "0" "0" "0" "0" "0" "1.65" NA "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.71" "1.84" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "29.8" "0" "0" "0" "3.72" "0" "0" "0" "0" "0" "4.45" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "26.4" "11.9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK_BL_DEC_398855" NA "0" "0" NA "0.08" "0.03" NA NA "0" NA NA NA "0.02" NA "0" "0" NA NA "0.22" "0.05" "0" "0.05" "0" "0.04" "0.55" "0.03" "0" NA "0" "0" "0" "0" NA "0" "0" "0" NA "0" "0.24" "0.5" "0" "0" "0.05" NA "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "3.62" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.35" "0" "0" "0" "0" "0" "0" "0" "0" "7.37" "0" "0" "0" "0" "0" "0" "0" "0.48" "0" "0" "0" "0" "0" "0" "0" "0" "5.44" "0" "0" "0" "0" "0" "0" "1.87" "0.86" "11.6" "9.46" "0.73" "10.1" "42.8" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK_BL_DEC_398898" NA "0" "0" NA "0.18" "0.06" NA NA NA NA NA "0.45" NA "0" "0" "0" "0.21" "0" "0.48" "0" "0" NA "0" NA "0" NA "0" "0" "0" "0" "0" "0" NA "0" "0" "0" "0" "0" "0" "0" "0.29" "0" "0.11" "0.31" "0" "0" "0" "0" "0" "0" "0" "7.21" "0" "0" "0" "0" "0" "0" "0" "23.9" "1.4" "0" "0" "0" "0" "0.59" "0.77" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.89" "0" "0" "0" "0" "0" "0" "0" "0" "0" "10.7" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "20.5" "28.6" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK_BL_DEC_398899" NA "0" "0" NA NA NA NA "0.09" "0.32" NA "0.06" "0" NA "0" NA "0" NA "0" "0" NA "0" "0.13" "0.14" "0.1" "0" NA "0" "0.24" "0" "0" "0" "0.25" NA "0" "0" "0" "0" "0" "0" "0" "0.28" "0.9" "0" "0.31" "0.41" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "2.1" "0" "0" "0.61" "0.81" "0" "0" "0" "12" "0" "0" "0" "0" "0" "1.84" "0" "0" "0" "0" "0" "0" "1.08" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "59.7" "0" "0" "0" "0" "0" "0" "0" "0" "0" NA "4.14" "6.98" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK_MM_FEB_398883" NA "0" "0" NA "0" NA NA "0" "0.82" NA NA "1.09" NA NA "0.5" NA "0" "0" "1.24" NA "4.28" NA NA NA "0" NA "0" NA "0" "0" "0" NA NA "0" "0" "0" "0" "0" "0" "0" NA "0" "0.27" "0.76" "1.01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1.2" "0" "0" "0" "1.43" "0" "0" "1.81" "0" "0" "0" "0" "0" "0" "0" "0" "0" "6.93" "11" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "32.4" "21.4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK_MM_FEB_398888" NA "0" "0" NA NA "0.26" NA "0" "0" NA "0" "1.76" NA "0" "0.78" "0.71" NA "0" "0" "0" "0" "0.55" "0" NA "4.86" "0.34" "0" "0.96" "0" "0" "0" "1.07" NA "10.7" "0" "0" "1.55" "0" "0" "0" "0" "0" NA "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "18.4" "0" "0" "0" "0" "0" "0" "0" "0" NA "0" "0" "0" "7.24" "3.71" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "8.77" "0" "0" "0" "0" "8.1" "12.4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK_MM_NOV_398860" NA "0" "0" NA "0" NA NA "0.13" NA NA "0.07" "0" NA NA "0" "0" "0.33" "0" "0" NA "0" "0.19" "0.21" NA "0" NA "0" NA "0" "0" "0" "0" NA "3.89" "0" "0" NA "0" "0.81" "0" "0.43" "0" NA "0" "0" "0" "0" "0" "0" "0" "9.63" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1.15" "0" "0" "0" "0" "1.02" "0" "0" "13.6" NA "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "13" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK_MM_NOV_398870" NA "0" "0" NA "0" NA NA "0.52" "0" NA NA "2.56" "0" "0.91" "1.21" "1.02" "0" "0" "0" "0.73" "9.8" NA "0.85" NA "0" "0" "0" "0" "0" "0" "0" "1.44" "0.41" "0" "0" "0" "0" "0" "3.13" "6.91" "1.7" "0" "0.66" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "12.5" "0" "2.73" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "24.5" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "19.9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK_MM_NOV_398873" NA "0" "0" NA "0.23" "0.08" NA NA "0" NA NA "0" NA NA NA "0.21" NA NA "0" "0.14" "0" NA NA NA "0" "0.1" "0" NA "0" "0" "0" NA NA "3.29" "0" "0" "0" "0" NA "1.38" "0.34" "0" "0.13" "0.36" "0.5" "0" "0" "0" "0" "0" "0" "0" "0" "0" "7.28" "0" "0" "0" "0" "0" "0" "0" "0" "0" NA "0.7" "0.97" "0" "0" "0" "0" "0.87" "1.2" "0" "0" "0" "0" "0" "0" "0" "0.89" "0" "0" "1.29" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "19.1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "8.25" "0" "0" "0" "0" "0" "0" "13.7" "17.6" "7.57" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
