"analysis" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23" "24" "25" "26" "27" "28" "29" "30" "31" "32" "33" "34" "35" "36" "37" "38" "39" "40" "41" "42" "43" "44" "45" "46" "47" "48" "49" "50" "51" "52" "53" "54" "55" "56" "57" "58" "59" "60" "61" "62" "63" "64" "65" "66" "67" "68" "69" "70" "71" "72" "73" "74" "75" "76" "77" "78" "79" "80" "81" "82" "83" "84" "85" "86" "87" "88" "89" "90" "91" "92" "93" "94" "95" "96" "97" "98" "99" "100" "101" "102" "103" "104" "105" "106" "107" "108" "109" "110" "111" "112" "113" "114" "115" "116" "117" "118" "119" "120" "121" "122" "123" "124" "125" "126" "127" "128" "129" "130" "131" "132" "133" "134" "135" "136" "137" "138" "139" "140" "141" "142" "143" "144" "145" "146" "147" "148" "149" "150" "151" "152" "153" "154" "155" "156" "157" "158" "159" "160" "161" "162" "163" "164" "165" "166" "167" "168"
"BK-SW-JAN-398875" "62174" "0" "617722" NA NA "113634" NA "166976" "0" NA NA "751618" "80734" NA "0" "300828" NA "0" "0" "211614" "0" "225113" "248231" NA "0" "149551" "0" "0" "0" "0" "0" "442122" NA "0" "0" "738249" NA "2398329" "0" "0" "492877" "0" NA "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "8452074" "0" "0" "838859" "1054861" "1411266" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1867342" "0" "0" "0" "0" "0" "0" "0" "0" "0" "2708203" "27540987" "76657170" "3229281" "21384544" "103731149" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK_00_DEC_398858" NA "0" "0" NA "338308" NA NA "157815" "0" NA NA "754796" NA "0" "0" "312538" "385760" "0" "0" "206118" "0" "226169" "0" "190614" "0" NA "0" "0" "0" "0" "0" "464060" NA "0" "0" "0" "0" "0" "0" "0" "0" "0" "199288" "518900" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "8383584" "0" "0" "0" "1045707" "0" "0" "0" "0" "0" "1251142" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "7411180" "3360617" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK_BL_DEC_398855" NA "0" "0" NA "326387" "115634" NA NA "0" NA NA NA "78470" NA "0" "0" NA NA "854965" "203444" "0" "226197" "0" "171302" "2159744" "138535" "0" NA "0" "0" "0" "0" NA "0" "0" "0" NA "0" "941011" "1959718" "0" "0" "192801" NA "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "14062069" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1365174" "0" "0" "0" "0" "0" "0" "0" "0" "28628585" "0" "0" "0" "0" "0" "0" "0" "1871240" "0" "0" "0" "0" "0" "0" "0" "0" "21131281" "0" "0" "0" "0" "0" "0" "7281228" "3345367" "45369996" "36706864" "2847377" "39382272" "166363915" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK_BL_DEC_398898" NA "0" "0" NA "330782" "110816" NA NA NA NA NA "786952" NA "0" "0" "0" "376418" "0" "851654" "0" "0" NA "0" NA "0" NA "0" "0" "0" "0" "0" "0" NA "0" "0" "0" "0" "0" "0" "0" "507593" "0" "194871" "547949" "0" "0" "0" "0" "0" "0" "0" "12637106" "0" "0" "0" "0" "0" "0" "0" "41891991" "2462106" "0" "0" "0" "0" "1044455" "1359344" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1573978" "0" "0" "0" "0" "0" "0" "0" "0" "0" "18884527" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "35892654" "50147378" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK_BL_DEC_398899" NA "0" "0" NA NA NA NA "157431" "558046" NA "105938" "0" NA "0" NA "0" NA "0" "0" NA "0" "231088" "253062" "183399" "0" NA "0" "412802" "0" "0" "0" "434280" NA "0" "0" "0" "0" "0" "0" "0" "489832" "1550837" "0" "536573" "705504" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "3596665" "0" "0" "1047220" "1400884" "0" "0" "0" "20682989" "0" "0" "0" "0" "0" "3167367" "0" "0" "0" "0" "0" "0" "1854606" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "102395664" "0" "0" "0" "0" "0" "0" "0" "0" "0" NA "7100588" "11957915" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK_MM_FEB_398883" NA "0" "0" NA "0" NA NA "0" "572839" NA NA "760138" NA NA "347493" NA "0" "0" "860966" NA "2973392" NA NA NA "0" NA "0" NA "0" "0" "0" NA NA "0" "0" "0" "0" "0" "0" "0" NA "0" "193288" "532700" "702047" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "836210" "0" "0" "0" "996761" "0" "0" "1256784" "0" "0" "0" "0" "0" "0" "0" "0" "0" "4813773" "7657852" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "22503611" "14898396" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK_MM_FEB_398888" NA "0" "0" NA NA "114696" NA "0" "0" NA "0" "770024" NA "0" "342882" "313689" NA "0" "0" "0" "0" "242235" "0" NA "2123927" "150586" "0" "420112" "0" "0" "0" "467355" NA "4680382" "0" "0" "677589" "0" "0" "0" "0" "0" NA "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "8055587" "0" "0" "0" "0" "0" "0" "0" "0" NA "0" "0" "0" "3160445" "1619565" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "3829724" "0" "0" "0" "0" "3536206" "5413208" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK_MM_NOV_398860" NA "0" "0" NA "0" NA NA "159082" NA NA "89209" "0" NA NA "0" "0" "392253" "0" "0" NA "0" "229388" "249314" NA "0" NA "0" NA "0" "0" "0" "0" NA "4606155" "0" "0" NA "0" "962080" "0" "508112" "0" NA "0" "0" "0" "0" "0" "0" "0" "11394990" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1359404" "0" "0" "0" "0" "1215455" "0" "0" "16114107" NA "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15448059" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK_MM_NOV_398870" NA "0" "0" NA "0" NA NA "156330" "0" NA NA "768200" "0" "275434" "362457" "308202" "0" "0" "0" "219799" "2937725" NA "256823" NA "0" "0" "0" "0" "0" "0" "0" "433778" "125676" "0" "0" "0" "0" "0" "940223" "2072397" "510979" "0" "198212" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "3756102" "0" "818846" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "7360021" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5980855" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK_MM_NOV_398873" NA "0" "0" NA "328165" "113629" NA NA "0" NA NA "0" NA NA NA "310889" NA NA "0" "212854" "0" NA NA NA "0" "145270" "0" NA "0" "0" "0" NA NA "4699772" "0" "0" "0" "0" NA "1981768" "487804" "0" "192950" "518559" "716779" "0" "0" "0" "0" "0" "0" "0" "0" "0" "10403863" "0" "0" "0" "0" "0" "0" "0" "0" "0" NA "1011876" "1385545" "0" "0" "0" "0" "1245125" "1723401" "0" "0" "0" "0" "0" "0" "0" "1275806" "0" "0" "1856133" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "27306759" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "11792367" "0" "0" "0" "0" "0" "0" "19605592" "25239217" "10816846" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
